رقم العقار,تاريخ الفرصة,اسم الفرصة,المنطقة,مساحة العقار,الدفعة المقدمة,قيمة القسط,العملة,إجمالي قيمة الحصة,إجمالي الحصص,الحصص المتاحة,الحصص المباعة,نوع العقار,النوع الفرعي,حالة التمويل,تاريخ التسليم,تاريخ الخروج,عدد الأقساط
373,2026-02-12,Residential unit 4 + Out 35M2 - Noll Compound,New Cairo’s Sixth District,غير متوفر في البيانات,10860.0,555.0,EGP,"68,655",25,9,16,residential,First Home,funded,2028-02-17,2034-04-22,99
372,2026-02-09,Farida Summer Bianchi - installment 5,"Sidi Abdel Rahman, North Coast",غير متوفر في البيانات,10200.0,1000.0,EGP,"126,000",25,11,14,residential,second home,funded,2028-11-30,2034-01-09,91
371,2026-02-09,Farida Summer Bianchi - Cash 3,"Sidi Abdel Rahman, North Coast",غير متوفر في البيانات,10770.0,5840.0,EGP,"80,850",25,22,3,residential,second home,available,2028-12-02,2027-02-09,13
370,2026-02-09,Office Space - ZED East Strip ZS-B-5-A  (1),ZED East Compound - New Cairo,غير متوفر في البيانات,16900.0,9455.0,EGP,"136,505",25,15,10,administrative,Administrative offices,available,2027-01-12,2027-01-09,12
369,2026-02-09,Hotel Apartment by Time Hotel - CBD 4,New Administrative Capital - ( CBD ),غير متوفر في البيانات,16500.0,5672.0,EGP,"94,492",25,24,1,Hotel Apartment,home 2nd,available,2028-07-28,2027-02-09,12
368,2026-02-09,Commercial - Evolve Tower Cash 3,New Administrative Capital of Egypt ( CBD ),غير متوفر في البيانات,15960.0,9710.0,EGP,"147,040",25,24,1,commercial,commercial,available,2028-01-01,2027-01-22,13
367,2026-02-09,Building S35 The VUES  Branded By L - Instalment 1 year (5),Mostakbal City (New Cairo),غير متوفر في البيانات,16300.0,3781.0,EGP,"73,491",25,21,4,residential,First Home,available,2025-11-01,2027-02-09,12
366,2026-02-09,Medical building - LMD Instalment 1 year (2),New Cairo,غير متوفر في البيانات,16800.0,9100.0,EGP,"126,000",25,24,1,commercial,commercial,available,2027-09-14,2027-02-09,14
365,2026-02-09,Office space - Infinity Tower 5,New Administrative Capital of Egypt ( CBD ),غير متوفر في البيانات,11600.0,9455.0,EGP,"126,005",25,0,25,administrative,Administrative offices,funded,2026-06-01,2027-02-08,12
364,2026-02-05,Medical Center - Rich point mall - Cash,El Nozha,غير متوفر في البيانات,147000.0,0,EGP,"147,000",50,27,23,commercial,commercial,available,2025-02-21,2026-03-01,1
363,2026-02-05,Medical Center - Rich point mall 3,El Nozha,غير متوفر في البيانات,53550.0,9928.0,EGP,"162,758",50,24,26,commercial,commercial,available,2025-02-21,2027-01-05,12
362,2026-02-05,Medical Suite - Rich point mall - Cash,El Nozha,غير متوفر في البيانات,73500.0,0,EGP,"73,500",50,26,24,Medical Unit,Medical Unit,available,2025-02-23,2026-03-01,1
361,2026-02-05,Medical Suite - Rich point mall ,El Nozha,غير متوفر في البيانات,32000.0,4728.0,EGP,"84,008",50,13,37,Medical Unit,Medical Unit,available,2025-02-23,2027-01-05,12
360,2026-01-29,Masaya B18 Branded  Studio By L,"Sidi Abdel Rahman, North Coast",غير متوفر في البيانات,16500.0,7367.0,EGP,"104,904",32,10,22,residential,second home,funded,2026-06-01,2027-01-28,13
359,2026-01-26,Building S35 The VUES  Branded By L - Instalment 10 year (4),Mostakbal City (New Cairo),غير متوفر في البيانات,12590.0,765.0,EGP,"120,711",25,20,5,residential,First Home,funded,2025-11-01,2035-11-26,118
358,2026-01-22,Hotel Apartment by Time Hotel - CBD 3,New Administrative Capital - ( CBD ),غير متوفر في البيانات,16500.0,5672.0,EGP,"94,492",25,17,8,Hotel Apartment,home 2nd,funded,2028-07-28,2026-01-22,12
